categoria,subcategoria,producto_tipo,igv,isc,ivap,requiere_revision,fuente_normativa,observacion,verificado_el
ABARROTES,ARROZ,ARROZ_INTEGRAL,PENDIENTE,NO,REVISAR,true,"Ley 28211 art. 7, modificado por Ley 28309 art. 11","Segun la partida puede ser 1006.20 (descascarillado, dentro del IVAP) o quedar fuera. Verificar la partida del producto concreto.",2026-09-08
ABARROTES,ACEITES,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Aceite vegetal envasado industrializado.,2026-09-08
ABARROTES,AZUCAR,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,No figura en el Apendice I. La exoneracion temporal de la Ley 31452 vencio el 31.7.2022 y no se prorrogo.,2026-09-08
ABARROTES,SAL,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Sal envasada industrializada.,2026-09-08
ABARROTES,FIDEOS,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Pasta industrializada. La exoneracion temporal de la Ley 31452 vencio el 31.7.2022 y no se prorrogo.,2026-09-08
ABARROTES,HARINAS,*,GRAVADO,NO,NO,false,"TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I; cf. Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partida 1001.10.10.00","Del trigo, el Apendice I solo exonera el trigo duro PARA LA SIEMBRA. La harina de la partida 11.01 no figura.",2026-09-08
ABARROTES,MENESTRAS,*,EXONERADO,NO,NO,false,"Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partidas 0713.10.10.00/0713.90.90.00","Legumbres secas desvainadas —arvejas, frijoles, habas y las demas— incluso mondadas o partidas. Cubre lentejas, frejoles y garbanzos secos a granel o envasados sin procesar. Un preparado o una conserva es otra partida.",2026-09-08
ABARROTES,CONSERVAS,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,"Conserva industrializada. Ojo: el pescado fresco esta exonerado, pero la conserva de pescado es otra partida y va gravada.",2026-09-08
ABARROTES,SALSAS Y SAZONADORES,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado.,2026-09-08
ABARROTES,DESAYUNO,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Cereales y avenas industrializadas.,2026-09-08
ABARROTES,CAFE,*,GRAVADO,NO,NO,false,"TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I; cf. Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partida 0901.11.00.00","El Apendice I solo exonera el cafe CRUDO O VERDE en grano. El cafe tostado, molido o instantaneo que vende un minimarket no entra.",2026-09-08
ABARROTES,INFUSIONES,*,PENDIENTE,NO,NO,true,"Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partidas 0902.10.00.00/0902.40.00.00","No se resuelve por subcategoria: el te de la partida 09.02 SI figura en el Apendice I, pero una infusion de hierbas (manzanilla, anis) no es te y va por otra partida. Clasificar por producto_tipo.",2026-09-08
ABARROTES,INFUSIONES,TE,EXONERADO,NO,NO,false,"Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partidas 0902.10.00.00/0902.40.00.00","Te (Camellia sinensis), incluso aromatizado. Figura nominalmente en el Apendice I.",2026-09-08
ABARROTES,INFUSIONES,INFUSION_DE_HIERBAS,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,"Manzanilla, anis, hierbaluisa y similares no son te de la partida 09.02 y no figuran en el Apendice I.",2026-09-08
LACTEOS,LECHE,*,PENDIENTE,NO,NO,true,"Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partida 0401.20.00.00",No se puede clasificar la subcategoria completa: el Apendice I dice literalmente 'Solo: leche cruda entera'. Clasificar por producto_tipo.,2026-09-08
LACTEOS,LECHE,LECHE_CRUDA_ENTERA,EXONERADO,NO,NO,false,"Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partida 0401.20.00.00","Unico lacteo nominado en el Apendice I, y con la palabra 'Solo:' delante. Un minimarket rara vez la vende.",2026-09-08
LACTEOS,LECHE,LECHE_EVAPORADA,GRAVADO,NO,NO,false,"TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I; cf. Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partida 0401.20.00.00",El 'Solo:' del Apendice I excluye cualquier otra leche. La evaporada es industrializada y va gravada.,2026-09-08
LACTEOS,LECHE,LECHE_UHT,GRAVADO,NO,NO,false,"TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I; cf. Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partida 0401.20.00.00",Mismo caso que la evaporada: el Apendice I solo alcanza a la leche cruda entera.,2026-09-08
LACTEOS,YOGURT,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto lacteo industrializado.,2026-09-08
LACTEOS,QUESOS,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto lacteo industrializado.,2026-09-08
LACTEOS,MANTEQUILLA Y MARGARINA,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado.,2026-09-08
LACTEOS,CREMAS,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado.,2026-09-08
GALLETAS Y DULCES,GALLETAS,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado.,2026-09-08
GALLETAS Y DULCES,DULCES,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado.,2026-09-08
GALLETAS Y DULCES,CHOCOLATES,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado.,2026-09-08
GALLETAS Y DULCES,GOLOSINAS,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado.,2026-09-08
GALLETAS Y DULCES,PANETONES,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado.,2026-09-08
SNACKS,SNACKS SALADOS,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado.,2026-09-08
SNACKS,EXTRUIDOS,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado.,2026-09-08
SNACKS,FRUTOS SECOS,*,PENDIENTE,NO,NO,true,"Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partidas 0801.11.00.00/0801.32.00.00","El Apendice I solo nombra cocos, nueces del Brasil y nueces de maranon (caujil). Almendras, pecanas, mani y pistachos no figuran. Clasificar por producto_tipo.",2026-09-08
SNACKS,FRUTOS SECOS,COCO,EXONERADO,NO,NO,false,"Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partidas 0801.11.00.00/0801.32.00.00",Nominado en el Apendice I.,2026-09-08
SNACKS,FRUTOS SECOS,NUEZ_DEL_BRASIL,EXONERADO,NO,NO,false,"Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partidas 0801.11.00.00/0801.32.00.00",Nominada en el Apendice I.,2026-09-08
SNACKS,FRUTOS SECOS,NUEZ_DE_MARANON,EXONERADO,NO,NO,false,"Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partidas 0801.11.00.00/0801.32.00.00",Caujil. Nominada en el Apendice I.,2026-09-08
SNACKS,FRUTOS SECOS,MANI,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,El mani (partida 12.02) no figura en el Apendice I.,2026-09-08
LIMPIEZA,DETERGENTES,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado no alimenticio. El Apendice I no alcanza articulos de limpieza.,2026-09-08
LIMPIEZA,LAVAVAJILLAS,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado no alimenticio. El Apendice I no alcanza articulos de limpieza.,2026-09-08
LIMPIEZA,LEJIAS Y DESINFECTANTES,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado no alimenticio. El Apendice I no alcanza articulos de limpieza.,2026-09-08
LIMPIEZA,SUAVIZANTES,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado no alimenticio. El Apendice I no alcanza articulos de limpieza.,2026-09-08
LIMPIEZA,PAPEL Y CELULOSA,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado no alimenticio. El Apendice I no alcanza articulos de limpieza.,2026-09-08
LIMPIEZA,UTILES DE LIMPIEZA,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado no alimenticio. El Apendice I no alcanza articulos de limpieza.,2026-09-08
HIGIENE PERSONAL,SHAMPOO Y ACONDICIONADOR,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado no alimenticio.,2026-09-08
HIGIENE PERSONAL,JABONES,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado no alimenticio.,2026-09-08
HIGIENE PERSONAL,CUIDADO DENTAL,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado no alimenticio.,2026-09-08
HIGIENE PERSONAL,DESODORANTES,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado no alimenticio.,2026-09-08
HIGIENE PERSONAL,PANALES Y TOALLAS,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado no alimenticio.,2026-09-08
HIGIENE PERSONAL,AFEITADO,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto industrializado no alimenticio.,2026-09-08
MASCOTAS,PERROS,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Alimento balanceado industrializado. El Apendice I no lo alcanza.,2026-09-08
MASCOTAS,GATOS,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Alimento balanceado industrializado. El Apendice I no lo alcanza.,2026-09-08
PANADERIA,PAN,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,El pan no figura en el Apendice I. La exoneracion temporal de la Ley 31452 vencio el 31.7.2022 y no se prorrogo.,2026-09-08
PANADERIA,PASTELERIA,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto elaborado.,2026-09-08
FRESCOS,FRUTAS,*,EXONERADO,NO,NO,false,"Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partidas 0803.00.11.00/0810.90.90.00","Fruta fresca. El Apendice I cubre desde platanos hasta 'las demas frutas u otros frutos, frescos' (0810.90.90.00). La fruta en conserva, deshidratada o en almibar es otra partida y va gravada.",2026-09-08
FRESCOS,VERDURAS,*,EXONERADO,NO,NO,false,"Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partidas 0701.10.00.00/0709.90.90.00","Hortalizas frescas o refrigeradas, incluida la papa y el cierre 'las demas hortalizas, frescas o refrigeradas'. Congeladas, en conserva o procesadas no entran.",2026-09-08
FRESCOS,HUEVOS,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I; Ley 31452 (vencida el 31.7.2022),"CORREGIDO: los huevos NO figuran en el Apendice I — entre la partida 03.07 (pescados) y la 04.01 (leche cruda) no hay 04.07. Estuvieron exonerados por la Ley 31452 entre el 1.5.2022 y el 31.7.2022, que no se prorrogo.",2026-09-08
FRESCOS,CARNES,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,La carne beneficiada no figura en el Apendice I; lo que figura son los animales VIVOS (partidas 01.01 a 01.04).,2026-09-08
FRESCOS,POLLO,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I; Ley 31452 (vencida el 31.7.2022),"El ave beneficiada no figura en el Apendice I. Estuvo exonerada por la Ley 31452 entre el 1.5.2022 y el 31.7.2022, que no se prorrogo.",2026-09-08
FRESCOS,PESCADOS,*,EXONERADO,NO,NO,false,"Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partidas 0301.10.00.00/0307.99.90.90","Pescados, crustaceos, moluscos y demas invertebrados acuaticos, EXCEPTO los destinados a harina y aceite de pescado. El rango cubre fresco, refrigerado, congelado y filetes. La conserva de pescado es otra partida y va gravada.",2026-09-08
FRESCOS,EMBUTIDOS,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Producto carnico industrializado.,2026-09-08
